SKU_A,SKU_B,lag,Pearson_r,pair
ME6632L,PIP33-BLK125BPM,-4,0.5716,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-3,0.4147,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-2,-0.2108,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-1,-0.3899,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,0,0.9303,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,1,0.4342,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,2,0.0391,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,3,-0.1623,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,4,-0.351,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,5,0.0011,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,6,-0.0608,ME6632L ↔ PIP33-BLK125BPM
GECS826TL,XS3M501,-6,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-5,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-4,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-3,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-2,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-1,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,0,0.9252,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,1,-0.0348,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,2,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,3,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,4,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,5,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,6,,GECS826TL ↔ XS3M501
ME6632XL,PIP33-BLK125BPM,-6,-0.0764,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-5,0.4283,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-4,0.6295,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-3,0.3009,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-2,0.9527,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-1,-0.2297,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,0,0.923,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,1,0.3706,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,2,0.4964,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,3,0.3319,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,4,-0.1202,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,5,0.1513,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,6,-0.0693,ME6632XL ↔ PIP33-BLK125BPM
ME6632L,ME6632M,-6,0.1238,ME6632L ↔ ME6632M
ME6632L,ME6632M,-5,0.006,ME6632L ↔ ME6632M
ME6632L,ME6632M,-4,-0.1479,ME6632L ↔ ME6632M
ME6632L,ME6632M,-3,0.1798,ME6632L ↔ ME6632M
ME6632L,ME6632M,-2,0.4696,ME6632L ↔ ME6632M
ME6632L,ME6632M,-1,0.6665,ME6632L ↔ ME6632M
ME6632L,ME6632M,0,0.9222,ME6632L ↔ ME6632M
ME6632L,ME6632M,1,-0.1377,ME6632L ↔ ME6632M
ME6632L,ME6632M,2,-0.1029,ME6632L ↔ ME6632M
ME6632L,ME6632M,3,-0.3168,ME6632L ↔ ME6632M
ME6632L,ME6632M,4,-0.3195,ME6632L ↔ ME6632M
ME6632L,ME6632M,5,-0.0629,ME6632L ↔ ME6632M
ME6632L,ME6632M,6,0.119,ME6632L ↔ ME6632M
AN16-650T9,PIP33-BLK125BPXS,-6,-0.0917,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-5,0.0131,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-4,-0.1435,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-3,-0.0718,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-2,-0.1533,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-1,0.3101,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,0,0.9193,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,1,-0.0093,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,2,0.0462,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,3,-0.04,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,4,-0.0678,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,5,0.0258,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,6,-0.1948,AN16-650T9 ↔ PIP33-BLK125BPXS
CRST1130,UVSVP401,-6,-0.0964,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,-5,0.0309,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,-4,0.4212,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,-3,0.4017,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,-2,0.6929,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,-1,-0.2654,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,0,0.9178,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,1,-0.0399,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,2,0.0496,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,3,-0.0553,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,4,-0.2227,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,5,-0.0182,CRST1130 ↔ UVSVP401
CRST1130,UVSVP401,6,0.1333,CRST1130 ↔ UVSVP401
CRST1130,PIP33-BLK125BPS,-6,-0.1022,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,-5,0.0679,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,-4,0.4329,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,-3,0.4013,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,-2,0.6453,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,-1,-0.2978,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,0,0.9102,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,1,0.295,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,2,0.3037,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,3,0.0188,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,4,-0.2297,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,5,0.0093,CRST1130 ↔ PIP33-BLK125BPS
CRST1130,PIP33-BLK125BPS,6,-0.0027,CRST1130 ↔ PIP33-BLK125BPS
3M5N11,3m6001PR,-6,-0.1988,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,-5,0.0215,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,-4,-0.1968,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,-3,0.2378,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,-2,-0.0819,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,-1,-0.2137,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,0,0.9097,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,1,-0.2779,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,2,-0.0118,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,3,0.2051,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,4,-0.1712,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,5,0.2191,3M5N11 ↔ 3m6001PR
3M5N11,3m6001PR,6,-0.3347,3M5N11 ↔ 3m6001PR
3M1292TY,MESX200LH,-6,0.0607,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,-5,0.0806,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,-4,-0.2694,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,-3,0.1497,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,-2,-0.1558,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,-1,-0.0157,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,0,0.909,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,1,-0.1037,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,2,-0.0386,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,3,0.043,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,4,-0.1524,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,5,-0.0238,3M1292TY ↔ MESX200LH
3M1292TY,MESX200LH,6,-0.0446,3M1292TY ↔ MESX200LH
ME6632M,PIP33-BLK125BPS,-6,0.1843,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,-5,0.3303,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,-4,0.7062,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,-3,0.43,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,-2,0.7855,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,-1,-0.1012,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,0,0.9087,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,1,0.4962,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,2,0.3723,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,3,0.2137,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,4,-0.12,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,5,0.0224,ME6632M ↔ PIP33-BLK125BPS
ME6632M,PIP33-BLK125BPS,6,0.1874,ME6632M ↔ PIP33-BLK125BPS
PIP42-874,SFPUG09VMT,-6,0.1291,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,-5,0.2531,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,-4,-0.2649,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,-3,-0.0215,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,-2,0.0984,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,-1,0.2869,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,0,0.9061,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,1,0.0348,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,2,-0.0145,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,3,-0.0052,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,4,-0.0316,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,5,0.051,PIP42-874 ↔ SFPUG09VMT
PIP42-874,SFPUG09VMT,6,0.0908,PIP42-874 ↔ SFPUG09VMT
XS3M6003-TY,XS3M7502TY,-6,-0.0023,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,-5,0.1131,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,-4,-0.059,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,-3,0.0025,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,-2,0.0075,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,-1,-0.0509,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,0,0.904,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,1,-0.1133,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,2,-0.0596,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,3,0.0408,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,4,-0.0301,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,5,-0.0404,XS3M6003-TY ↔ XS3M7502TY
XS3M6003-TY,XS3M7502TY,6,0.0024,XS3M6003-TY ↔ XS3M7502TY
CRST1130,ME6632M,-6,0.4274,CRST1130 ↔ ME6632M
CRST1130,ME6632M,-5,-0.1449,CRST1130 ↔ ME6632M
CRST1130,ME6632M,-4,-0.1867,CRST1130 ↔ ME6632M
CRST1130,ME6632M,-3,-0.1453,CRST1130 ↔ ME6632M
CRST1130,ME6632M,-2,0.1778,CRST1130 ↔ ME6632M
CRST1130,ME6632M,-1,0.1931,CRST1130 ↔ ME6632M
CRST1130,ME6632M,0,0.904,CRST1130 ↔ ME6632M
CRST1130,ME6632M,1,0.0704,CRST1130 ↔ ME6632M
CRST1130,ME6632M,2,0.4781,CRST1130 ↔ ME6632M
CRST1130,ME6632M,3,-0.1018,CRST1130 ↔ ME6632M
CRST1130,ME6632M,4,-0.099,CRST1130 ↔ ME6632M
CRST1130,ME6632M,5,-0.1468,CRST1130 ↔ ME6632M
CRST1130,ME6632M,6,0.0102,CRST1130 ↔ ME6632M
JYR-2004N,MRSR-1060NJTL,-6,-0.054,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,-5,0.3312,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,-4,-0.1623,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,-3,-0.1016,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,-2,-0.3932,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,-1,-0.4101,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,0,0.8959,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,1,0.096,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,2,-0.1682,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,3,-0.1392,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,4,-0.1258,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,5,-0.4177,JYR-2004N ↔ MRSR-1060NJTL
JYR-2004N,MRSR-1060NJTL,6,0.1858,JYR-2004N ↔ MRSR-1060NJTL
GECS826TL,XS3M7502TY,-6,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,-5,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,-4,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,-3,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,-2,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,-1,,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,0,0.8957,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,1,-0.559,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,2,0.2711,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,3,0.2845,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,4,-0.5471,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,5,-0.5092,GECS826TL ↔ XS3M7502TY
GECS826TL,XS3M7502TY,6,0.6544,GECS826TL ↔ XS3M7502TY
ME6632M,ME6632XL,-6,0.0078,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,-5,-0.0289,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,-4,0.0734,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,-3,0.1368,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,-2,0.6064,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,-1,0.2308,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,0,0.8917,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,1,-0.0128,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,2,0.5161,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,3,0.129,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,4,-0.1058,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,5,0.053,ME6632M ↔ ME6632XL
ME6632M,ME6632XL,6,0.0773,ME6632M ↔ ME6632XL
PIP42-874,SFPUG111VMT,-6,0.0907,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,-5,0.261,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,-4,-0.2745,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,-3,-0.0061,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,-2,0.1069,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,-1,0.2722,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,0,0.8861,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,1,-0.0079,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,2,-0.0079,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,3,-0.0581,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,4,-0.0565,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,5,-0.0001,PIP42-874 ↔ SFPUG111VMT
PIP42-874,SFPUG111VMT,6,0.0771,PIP42-874 ↔ SFPUG111VMT
MOM2700,UVSVP400,-6,0.2126,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,-5,-0.1386,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,-4,-0.2486,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,-3,-0.0125,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,-2,0.0227,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,-1,-0.1102,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,0,0.8839,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,1,-0.1247,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,2,0.0898,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,3,0.0424,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,4,-0.3193,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,5,0.0635,MOM2700 ↔ UVSVP400
MOM2700,UVSVP400,6,0.3016,MOM2700 ↔ UVSVP400
ME6632L,UVSVP401,-6,-0.0211,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,-5,0.4809,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,-4,0.6183,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,-3,0.4843,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,-2,0.515,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,-1,-0.2934,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,0,0.8834,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,1,-0.3797,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,2,-0.362,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,3,-0.1716,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,4,-0.1821,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,5,0.0769,ME6632L ↔ UVSVP401
ME6632L,UVSVP401,6,0.2153,ME6632L ↔ UVSVP401
ME9683M,MESX200LH,-6,0.0747,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,-5,-0.0182,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,-4,-0.0978,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,-3,0.0071,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,-2,-0.1533,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,-1,-0.1217,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,0,0.8817,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,1,-0.1331,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,2,-0.041,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,3,0.0932,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,4,-0.225,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,5,0.0102,ME9683M ↔ MESX200LH
ME9683M,MESX200LH,6,0.0997,ME9683M ↔ MESX200LH
PIP33-BLK125BPM,UVS4040,-6,-0.0875,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,-5,0.1428,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,-4,-0.0564,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,-3,0.3483,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,-2,0.5086,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,-1,0.3065,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,0,0.8811,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,1,-0.198,PIP33-BLK125BPM ↔ UVS4040
PIP33-BLK125BPM,UVS4040,2,0.9738,PIP33-BLK125BPM ↔ UVS4040
